-- Résultats attendus
-- Format: Temps(ns) | Ic(A) | Vce(V)

0 0.0 500.00
5 0.0 500.00
10 0.0 500.00
15 0.0 500.00
20 0.0 500.00
25 0.0 500.00
30 0.0 500.00
35 0.0 500.00
40 0.0 500.00
45 0.0 500.00
50 0.0 500.00
55 0.0 500.00
60 0.0 500.00
65 0.0 500.00
70 0.0 500.00
75 0.0 500.00
80 0.0 500.00
85 0.0 500.00
90 0.0 500.00
95 0.0 500.00

-- TURN-ON
100 0.00 502.00
105 0.00 477.61
110 0.00 454.42
115 0.00 432.35
120 0.00 411.37
125 0.00 391.40
130 0.00 372.41
135 0.00 354.34
140 0.00 337.16
145 0.00 320.81
150 0.00 305.27
155 2.62 290.47
160 5.16 276.41
165 7.61 263.02
170 9.99 250.29
175 12.28 238.18
180 14.50 226.66
185 16.65 215.71
190 18.73 205.28
195 20.73 195.37
200 22.68 185.94
205 24.56 176.97
210 26.37 168.44
215 28.13 160.32
220 29.83 152.60
225 31.48 145.25
230 33.07 138.27
235 34.61 131.62
240 36.10 125.30
245 37.53 119.29
250 38.93 113.57
255 40.27 108.12
260 41.58 102.95
265 42.84 98.02
270 44.05 93.34
275 45.23 88.89
280 46.37 84.65
285 47.47 80.62
290 48.54 76.78
295 49.57 73.14
300 50.57 69.67
305 51.53 66.37
310 52.47 63.23
315 53.37 60.24
320 54.24 57.40
325 55.09 54.70
330 55.90 52.13
335 56.69 49.68
340 57.46 47.36
345 58.20 45.15
350 58.91 43.04
355 59.60 41.04
360 60.27 39.14
365 60.92 37.33
370 61.54 35.60
375 62.15 33.96
380 62.73 32.41
385 63.30 30.92
390 63.85 29.51
395 64.38 28.17
400 64.89 26.89
405 65.39 25.68
410 65.86 24.52
415 66.33 23.43
420 66.78 22.38
425 67.21 21.39
430 67.63 20.44
435 68.03 19.54
440 68.43 18.69
445 68.81 17.87
450 69.17 17.10
455 69.53 16.36
460 69.87 15.66
465 70.20 15.00
470 70.52 14.36
475 70.84 13.76
480 71.14 13.19
485 71.43 12.64
490 71.71 12.12
495 71.98 11.63
500 72.24 11.16
505 72.50 10.71
510 72.74 10.29
515 72.98 9.88
520 73.21 9.50
525 73.43 9.13
530 73.65 8.78
535 73.86 8.45
540 74.06 8.14
545 74.25 7.84
550 74.44 7.55
555 74.62 7.28
560 74.80 7.03
565 74.97 6.78
570 75.14 6.55
575 75.29 6.33
580 75.45 6.11
585 75.60 5.91
590 75.74 5.72
595 75.88 5.54
600 76.02 5.37
605 76.15 5.20
610 76.27 5.05
615 76.40 4.90
620 76.51 4.76
625 76.63 4.62
630 76.74 4.50
635 76.85 4.37
640 76.95 4.26
645 77.05 4.15
650 77.15 4.04
655 77.24 3.94
660 77.33 3.85
665 77.42 3.76
670 77.50 3.67
675 77.58 3.59
680 77.66 3.51
685 77.74 3.44
690 77.81 3.37
695 77.89 3.30
700 77.96 3.24
705 78.02 3.18
710 78.09 3.12
715 78.15 3.07
720 78.21 3.01
725 78.27 2.97
730 78.33 2.92
735 78.38 2.87
740 78.43 2.83
745 78.49 2.79
750 78.53 2.75
755 78.58 2.72
760 78.63 2.68
765 78.67 2.65
770 78.72 2.62
775 78.76 2.59
780 78.80 2.56
785 78.84 2.53
790 78.88 2.50
795 78.91 2.48
800 78.95 2.46
805 78.98 2.43
810 79.02 2.41
815 79.05 2.39
820 79.08 2.37
825 79.11 2.36
830 79.14 2.34
835 79.17 2.32
840 79.20 2.31
845 79.22 2.29

-- ON STATE
850 80.00 2.0
855 80.00 2.0
860 80.00 2.0
865 80.00 2.0
870 80.00 2.0
875 80.00 2.0
880 80.00 2.0
885 80.00 2.0
890 80.00 2.0
895 80.00 2.0
900 80.00 2.0
905 80.00 2.0
910 80.00 2.0
915 80.00 2.0
920 80.00 2.0
925 80.00 2.0
930 80.00 2.0
935 80.00 2.0
940 80.00 2.0
945 80.00 2.0
950 80.00 2.0
955 80.00 2.0
960 80.00 2.0
965 80.00 2.0
970 80.00 2.0
975 80.00 2.0
980 80.00 2.0
985 80.00 2.0
990 80.00 2.0
995 80.00 2.0
1000 80.00 2.0
1005 80.00 2.0
1010 80.00 2.0
1015 80.00 2.0
1020 80.00 2.0
1025 80.00 2.0
1030 80.00 2.0
1035 80.00 2.0
1040 80.00 2.0
1045 80.00 2.0
1050 80.00 2.0
1055 80.00 2.0
1060 80.00 2.0
1065 80.00 2.0
1070 80.00 2.0
1075 80.00 2.0
1080 80.00 2.0
1085 80.00 2.0
1090 80.00 2.0
1095 80.00 2.0
1100 80.00 2.0
1105 80.00 2.0
1110 80.00 2.0
1115 80.00 2.0
1120 80.00 2.0
1125 80.00 2.0
1130 80.00 2.0
1135 80.00 2.0
1140 80.00 2.0
1145 80.00 2.0
1150 80.00 2.0
1155 80.00 2.0
1160 80.00 2.0
1165 80.00 2.0
1170 80.00 2.0
1175 80.00 2.0
1180 80.00 2.0
1185 80.00 2.0
1190 80.00 2.0
1195 80.00 2.0
1200 80.00 2.0
1205 80.00 2.0
1210 80.00 2.0
1215 80.00 2.0
1220 80.00 2.0
1225 80.00 2.0
1230 80.00 2.0
1235 80.00 2.0
1240 80.00 2.0
1245 80.00 2.0
1250 80.00 2.0
1255 80.00 2.0
1260 80.00 2.0
1265 80.00 2.0
1270 80.00 2.0
1275 80.00 2.0
1280 80.00 2.0
1285 80.00 2.0
1290 80.00 2.0
1295 80.00 2.0
1300 80.00 2.0
1305 80.00 2.0
1310 80.00 2.0
1315 80.00 2.0
1320 80.00 2.0
1325 80.00 2.0
1330 80.00 2.0
1335 80.00 2.0
1340 80.00 2.0
1345 80.00 2.0

-- TURN-OFF
1350 88.00 2.00
